v5.5_gene	v5.3.1	v5.5	v6
Cre01.g000050	Cre01.g000050.t1.3	Cre01.g000050.t1.1	ChCC-v11000010m.g
Cre01.g000100	Cre01.g000100.t1.3	Cre01.g000100.t1.1	ChCC-v11000011m.g
Cre01.g000150	Cre01.g000150.t1.2	Cre01.g000150.t1.2	ChCC-v11000015m.g
Cre01.g000200	Cre01.g000200.t1.3	Cre01.g000200.t1.1	ChCC-v11000021m.g
Cre01.g000250	Cre01.g000250.t1.2	Cre01.g000250.t1.2	ChCC-v11000022m.g
Cre01.g000300	Cre01.g000300.t1.3	Cre01.g000300.t1.1	ChCC-v11000023m.g
Cre01.g000350	Cre01.g000350.t1.3	Cre01.g000350.t1.1	ChCC-v11000027m.g
Cre01.g000400	Cre01.g000400.t1.2	Cre01.g000400.t1.2	ChCC-v11000028m.g
Cre01.g000450	Cre01.g000450.t1.2	Cre01.g000450.t1.2	ChCC-v11000029m.g
Cre01.g000500	Cre01.g000500.t1.3	Cre01.g000500.t1.1	ChCC-v11000032m.g
Cre01.g000550	Cre01.g000550.t1.2	Cre01.g000550.t1.2	ChCC-v11000033m.g
Cre01.g000600	Cre01.g000600.t1.2	Cre01.g000600.t1.2	ChCC-v11000035m.g
Cre01.g000650	Cre01.g000650.t1.3	Cre01.g000650.t1.1	ChCC-v11000037m.g
Cre01.g000750	Cre01.g000750.t1.3	Cre01.g000750.t1.1	ChCC-v11000042m.g
Cre01.g000800	Cre01.g000800.t1.2	Cre01.g000800.t1.2	ChCC-v11000046m.g
Cre01.g000850	Cre01.g000850.t1.2	Cre01.g000850.t1.2	ChCC-v11000048m.g
Cre01.g000900	Cre01.g000900.t1.2	Cre01.g000900.t1.2	ChCC-v11000049m.g
Cre01.g000950	Cre01.g000950.t1.3	Cre01.g000950.t1.1	ChCC-v11000050m.g
Cre01.g001000	Cre01.g001000.t1.3	Cre01.g001000.t1.1	ChCC-v11000051m.g
Cre01.g001100	Cre01.g001100.t1.2	Cre01.g001100.t1.2	ChCC-v11000056m.g
Cre01.g001150	Cre01.g001150.t1.3	Cre01.g001150.t1.1	ex.Cre01.g001150.t1.1.g
Cre01.g001200	Cre01.g001200.t1.3	Cre01.g001200.t1.1	ChCC-v11000058m.g
Cre01.g001350	Cre01.g001350.t1.2	Cre01.g001350.t1.2	ChCC-v11000067m.g
Cre01.g001400	Cre01.g001400.t1.1	Cre01.g001400.t1.1	ChCC-v11000068m.g
Cre01.g001550	Cre01.g001550.t1.3	Cre01.g001550.t1.1	ChCC-v11000075m.g
Cre01.g001600	Cre01.g001600.t1.2	Cre01.g001600.t1.2	ChCC-v11000079m.g
Cre01.g001650	Cre01.g001650.t1.2	Cre01.g001650.t1.2	ChCC-v11000081m.g
Cre01.g001750	Cre01.g001750.t1.2	Cre01.g001750.t1.2	ChCC-v11000102m.g
Cre01.g001800	Cre01.g001800.t1.3	Cre01.g001800.t1.1	ChCC-v11000104m.g
Cre01.g001950	Cre01.g001950.t1.2	Cre01.g001950.t1.2	ChCC-v11000108m.g
Cre01.g002050	Cre01.g002050.t1.2	Cre01.g002050.t1.1	ChCC-v11000112m.g
Cre01.g002100	Cre01.g002100.t1.2	Cre01.g002100.t1.2	ChCC-v11000113m.g
Cre01.g002150	Cre01.g002150.t1.2	Cre01.g002150.t1.2	ChCC-v11000118m.g
Cre01.g002200	Cre01.g002200.t1.2	Cre01.g002200.t1.1	ChCC-v11000121m.g
Cre01.g002201	Cre01.g002201.t1.2	Cre01.g002201.t1.2	ChCC-v11000124m.g
Cre01.g002227	Cre01.g002227.t1.2	Cre01.g002227.t1.2	ChCC-v11000126m.g
